GeneName	SW480_T0_Rep1_TPM	SW480_T0_Rep2_TPM	SW480_T24_Rep1_TPM	SW480_T24_Rep2_TPM	SW480_T48_Rep1_TPM	SW480_T48_Rep2_TPM	SW480_T72_Rep1_TPM	SW480_T72_Rep2_TPM
RASA2	4.03	4.1	3.9	4.35	4.85	4.57	6.22	3.87
RASA3	2.31	1.93	2.33	1.92	2.32	2.22	1.91	1.53
RASA4	10.21	9.37	9.86	7.05	8.87	10.98	10.75	10.64
RASA4B	4.88	4.46	4.33	3.59	4.7	4.08	3.84	3.64
RASAL1	8.36	6.59	8.04	6.59	7.17	9.18	4.85	4.3
RASAL2	2.47	2.1	2.72	1.94	2.62	1.8	2.96	2.68
RASAL3	0.01	0	0.02	0.04	0.01	0.03	0	0.32
RASD1	0.31	0.35	0.23	0.36	0.19	0.1	0.41	0.31
RASD2	0.1	0.12	0.12	0.09	0.12	0.07	0.1	0.09
RASEF	0.08	0.12	0.17	0.06	0.16	0.16	0.05	0.18
RASGEF1A	0.15	0.15	0.12	0.14	0.2	0.05	0.08	0.07
RASGEF1B	3.96	4.44	4.37	4.45	6.12	6.03	5.5	4.01
RASGEF1C	0.12	0.04	0.04	0.06	0.12	0.05	0.09	0.06
RASGRF1	0.29	0.12	0.37	0.18	0.28	0.48	0.59	0.54
RASGRF2	0.34	0.36	0.18	0.36	0.27	0.24	0.27	0.24
RASGRP1	0.56	0.4	0.54	0.42	0.47	0.41	0.3	0.48
RASGRP2	0.32	0.17	0.39	0.32	0.71	0.23	0.65	0.51
RASGRP3	0.36	0.66	0.17	0.51	0.29	0.43	0.9	0.45
RASGRP4	0.17	0.12	0.08	0.1	0.02	0.1	0.15	0.03
RASIP1	5.3	4.49	2.77	3.74	2.07	1.71	0.58	0.44
RASL10A	0.26	0.27	0.16	0.22	0.3	0.17	0.32	0.08
RASL10B	5.51	5.91	5	4.75	4.04	3.92	2.53	1.78
RASL11A	0.72	0.65	0.65	0.33	0.27	0.89	0.54	0.24
RASL11B	6.25	8.55	5.51	6.35	9.61	10.61	8.5	5.99
RASL12	0	0.03	0.05	0.01	0	0.04	0.06	0
RASSF1	8	8.05	6.65	6.73	6.14	6.13	4.59	3.29
RASSF10	0.17	0.19	0.22	0.11	0.42	0.2	0.72	0.49
RASSF2	0.22	0.12	0.08	0.09	0.08	0.11	0.18	0.13
RASSF3	7.18	8.34	6.28	7.26	7.13	7.25	6.06	4.19
RASSF4	3.25	2.57	1.89	2.33	2.6	1.9	2.53	1.56
RASSF5	1.91	2.29	2	2.11	3.16	3.21	4.03	3.71
RASSF6	22.28	22.74	19.26	21	29.33	29.23	44.9	33.78
RASSF7	31.79	32.11	30.46	30.48	24.05	25.83	22.59	18.12
RASSF8	30.9	32	31.7	32.58	63.74	62.78	109.09	81.48
RASSF9	0.91	0.96	0.77	0.95	1.16	1.2	2.15	1.79
RAVER1	16.54	16.47	14.52	14.42	11.83	13.83	12.24	12.01
RAVER2	5.34	5.36	4.21	4.45	5.52	5.66	5.56	4.95
RAX	0	0	0.03	0.01	0	0	0.02	0.02
RAX2	0	0.02	0.04	0	0	0.08	0.05	0
RB1	12.09	13.78	12.4	13.29	13.93	14.23	12.31	10.55
RB1CC1	19.14	20.9	19.16	20.57	19.22	19.46	17.05	12.17
RBAK	12.8	13.76	11.57	12.35	12.1	11.9	12.02	9.41
RBAK-RBAKDN	1.09	0.68	0	0.43	1.33	0.46	1.14	0.83
RBBP4	98.27	101.98	88.96	89.21	92.02	95.13	66.4	55.52
RBBP5	7.27	7.24	7.05	7.09	7.23	8.58	8.53	6.44
RBBP6	24.33	25.17	22.22	23.2	24.92	23.15	24	18.1
RBBP7	128.5	122.94	109.5	117.97	127.07	133.28	124.12	96.13
RBBP8	58.12	60.17	51.43	51.21	50.19	50.77	40.94	32.34
RBBP8NL	5.98	6.38	6.61	6.68	7.01	7.02	6.34	5
RBBP9	9.78	10.37	8.77	8.8	8.63	8.85	9.55	7.71
RBCK1	126.16	129.03	138.9	135.26	114.15	119.2	54.68	43.38
RBFA	15.92	15.28	13.66	13.63	15.75	13.17	16.06	10.91
RBFOX1	0	0	0.1	0.1	0.05	0	0	0.03
RBFOX2	24.22	24.48	21.4	20.43	25.03	24.4	26.52	23.49
RBFOX3	0.07	0.13	0.19	0.12	0.15	0.13	0.21	0.18
RBKS	1.26	0.91	1.13	1.08	1.55	1.66	2.17	1.34
RBL1	10.77	10.19	10.29	10.88	10.29	9.6	10.93	9.21
RBL2	12.74	13.22	10.88	11.56	12.09	11.93	12.72	10.4
RBM10	37.87	38.32	35.36	34.16	38.1	38.22	37.62	28.36
RBM11	2.88	2.21	2.34	2.74	2.71	1.04	3.04	1.91
RBM12	52.51	48.57	49.53	47.76	64.67	59.62	84.34	66.66
RBM12B	22.38	20.68	21.3	19.48	21.24	21.22	24.53	19.35
RBM14	36.36	37.3	29.37	28.95	30.8	29.96	24.35	18.47
RBM14-RBM4	5.39	4.82	4.81	4.46	2.11	3.09	3.28	2.39
RBM15	16.65	15.98	14.43	14.21	13.26	13.29	12.32	9.58
RBM15B	19.85	20.54	18.81	19.12	20.77	20.7	18.39	14.35
RBM17	92.98	88.14	82.26	85.05	78.39	70.48	71.24	52.06
RBM18	14.19	13.39	11.75	12.15	11.85	11.32	8.19	5.28
RBM19	13.19	12.81	12.64	11.84	11.27	11.05	13.89	9.69
RBM20	5.41	5.58	5.84	4.77	6.02	5.69	8.61	7.03
RBM22	21.41	21.23	21.74	21.11	22.43	19.57	18.96	16.19
RBM23	33.22	29.75	33.64	30.13	34.1	33.27	37.66	25.47
RBM24	0.1	0.33	0.27	0.25	0.08	0.13	0.37	0.32
RBM25	60.22	61.9	55.55	55.21	51.88	52.63	54.91	44.87
RBM26	25.01	23.81	23.04	22.42	20.61	21.9	25.51	21.64
RBM27	12.82	13.69	11.97	11.62	18.09	15.14	14.47	11.95
RBM28	55.02	55.53	58.61	56.18	49.67	43.47	45.33	33.63
RBM3	155.58	160.28	135.73	142.51	154.91	163.48	154.04	109.69
RBM33	20.48	18.39	17.43	16.38	17.79	16.98	22.47	17.89
RBM34	76.15	83.14	78.21	92.5	76.94	81.9	90.16	67.36
RBM38	38.23	37.38	33.6	30.67	34.82	35.38	30.18	25.44
RBM39	351.65	342.69	315.51	338.92	257.44	262.4	282.69	203.66
RBM4	94.46	91.97	89.79	88.64	98.41	97.58	90.54	63.91
RBM41	13.33	12.79	12.86	12.69	11.65	12.28	13.74	10.27
RBM42	87.62	87.74	85.39	77.88	82.21	78.71	56.93	43.44
RBM43	0.46	0.59	0.67	0.58	0.92	0.97	0.94	0.67
RBM44	0.04	0.07	0	0.13	0.04	0.1	0.11	0.05
RBM45	4.89	5.07	4.22	3.85	5.16	4.19	4.54	3.79
RBM46	0.02	0	0.11	0.02	0	0.14	0.12	0.04
RBM47	5.1	6.3	4.86	5.21	7.78	7.18	8.52	6.08
RBM48	13	14.04	12.84	11.97	13.69	12.65	13.97	11.43
RBM4B	17.52	14.5	15.62	16.52	16.24	15.75	13.8	12.73
RBM5	47.53	46.43	61.62	48.23	50.57	45.4	53.04	47.95
RBM6	46.98	46.51	48.21	46.15	40.5	37.47	48.58	38.11
RBM7	17.38	19.39	18.31	18.71	23.88	20.82	22.58	16.86
RBM8A	116.93	116.36	117.47	113.05	119.82	115.84	88.32	65.2
RBMS1	15.96	16.73	14.84	13.82	16.16	17.89	16.4	12.78
RBMS2	3.78	3.97	3.64	2.78	4.87	4.52	9.14	6.73
RBMS3	0.28	0.13	0.07	0.06	0.06	0.4	0.69	0.31
RBMX	354.25	351.77	310.3	327.4	343.75	330.58	277.88	203.26
RBMX2	28.92	29.37	25.15	24.77	19.42	18.98	11.23	8.51
RBMXL1	6.63	5.78	4.71	5.75	5.3	5.51	5.88	3.95
RBMXL2	0	0.05	0.05	0	0.08	0.03	0.05	0.06
RBMXL3	0	0	0	0.02	0	0.02	0.03	0
RBMY1A1	0	0	0	0	0	0	0	0
RBMY1B	0	0	0	0	0	0	0	0
RBMY1D	0	0	0	0	0	0	0	0
RBMY1E	0	0	0	0	0	0	0	0
RBMY1F	0	0	0	0	0	0	0	0
RBMY1J	0	0	0	0	0	0	0	0
RBP1	524.55	510.3	423.23	385.02	570.3	562.06	755.59	574.84
RBP2	0.08	0	0.07	0.1	0	0.1	0.09	0
RBP3	0	0	0	0.01	0	0.01	0.02	0
RBP4	0.07	0	0.06	0.16	0.14	0.06	0.14	0.08
RBP5	2.71	1.77	2.25	2.14	1.83	2.24	2.78	1.48
RBP7	1.22	0.73	0.75	1.2	0.69	0.66	0.19	0.8
RBPJ	11.57	11.82	12.54	11.37	11.04	10.4	12.88	10.34
RBPJL	0	0.03	0.07	0.02	0.03	0.11	0.06	0.04
RBPMS	1.35	1.79	1.16	1.16	1.05	1.89	1.33	1.73
RBPMS2	0.03	0.03	0	0.02	0.03	0.03	0.06	0.06
RBSN	8.38	7.51	7.4	6.65	7.85	7.39	7.23	5.43
RBX1	20.09	22.07	23.18	23.63	22.93	25.63	20.97	15.82
RC3H1	6.87	7.44	7.58	5.35	9.61	7.59	8.2	5.88
RC3H2	18.62	18.48	13.97	14.27	13.96	14.98	9.46	7.54
RCAN1	9.87	10.19	9.06	9.11	9.22	9.71	6.35	4.56
RCAN2	0.16	0.21	0.24	0.2	0.39	0.4	1.3	1.06
RCAN3	4.13	3.95	3.76	3.55	4.03	4.53	4.91	4.5
RCBTB1	13.06	13.72	11.44	12.93	13.48	12.79	11.54	8.24
RCBTB2	1.11	0.9	0.58	0.59	0.57	0.91	0.39	0.74
RCC1	60.18	61.45	57.06	55.56	54.5	52.53	46	33.51
RCC1L	34.82	37.07	34.71	34.95	35.82	36.37	32.75	22.68
RCC2	156.15	154.37	138.36	136.19	134.73	134.28	94.55	73.87
RCCD1	21.31	17.32	15.29	17.97	17.22	12.89	16.86	18.48
RCE1	21.17	20.4	19.08	19.98	16.64	17.96	12.46	11.38
RCHY1	18.49	17.92	18.64	18.61	13.93	13.94	11	9.17
RCL1	13.96	13.13	13.45	13.31	12.6	14.31	12.52	9.53
RCN1	192.41	188.01	169.77	162.85	209.7	209.21	181.17	128.95
RCN2	35.97	36.34	34.2	36.62	47.62	51.22	60.4	43.15
RCN3	1.34	1.3	1.4	1.22	1.88	1.09	2.11	1.23
RCOR1	17.72	19.26	18.41	17.22	19.57	19.94	20.88	22.45
RCOR2	8.24	8.03	7.21	6.8	8.28	7.71	7.39	5.04
RCOR3	20.91	20.7	22.72	19.46	18.21	16.91	20.14	16.76
RCSD1	6.06	6.38	6.59	6.78	7.98	7.69	3.46	2.32
RCVRN	0	0	0	0.01	0.09	0	0	0
RD3	0.05	0.03	0.01	0.06	0.11	0.04	0.08	0.08
RD3L	0	0	0	0	0	0	0	0
RDH10	5.71	7	5.95	6	7.48	5.5	7.91	4.92
RDH11	65.04	63.25	50.97	53.84	59.27	59.14	57.04	41.83
RDH12	0.19	0.21	0.22	0.28	0.28	0.28	0.08	0.1
RDH13	26.56	27.63	23.49	23.21	20.42	21.03	19.83	13.23
RDH14	24.89	26.12	23.73	22.91	26.75	22.49	19.12	16.97
RDH16	0.08	0.1	0.09	0.11	0.15	0.05	0.06	0.12
RDH5	4.81	4.99	4.42	4.38	8.64	6.61	12.52	11.34
RDH8	0	0	0	0	0	0	0	0
RDM1	4.07	3.45	3.15	4.02	3.51	2.75	2.56	2.7
RDX	23.55	26.49	24.73	27.54	30.75	27.9	37.07	28.83
REC114	0	0.07	0.05	0.12	0	0	0	0
REC8	3.74	2.99	2.42	2.24	1.95	2.37	3.3	2.73
RECK	0.47	0.56	0.71	0.8	0.63	0.85	1.44	1.07
RECQL	28.03	29.37	25.75	27.68	32.76	33.36	24.88	20.17
RECQL4	27.79	22.41	24.12	19.86	16.47	16.01	15.42	11.33
RECQL5	35.76	30.09	35.59	31.48	22.06	25.57	32.35	26.52
REEP1	1.66	0.76	0.96	0.98	1.2	1.56	1.55	1.46
REEP2	20.56	21.72	16.79	13.69	13.53	13.96	12.03	8.95
REEP3	17.99	13.88	12.6	12.16	17.3	18.55	23.34	19.92
REEP4	26.59	25.02	21.17	20.36	15.25	14.27	8.87	7.04
REEP5	20.83	20.04	15.49	15.91	17.25	16.83	14.34	11.13
REEP6	2.17	1.7	2.17	1.89	2.49	1.91	2.5	2.06
REG1A	0	0.07	0.12	0.13	0.07	0.32	0	0.34
REG1B	0	0	0.09	0	0	0.05	0	0
REG3A	0	0	0.13	0.13	0.3	0.37	0.73	0.43
REG3G	0.13	0.06	0	0.07	0.14	0.08	0	0.08
REG4	0	0	0	0.05	0	0	0.04	0
REL	4.41	4.87	3.71	3.52	4.13	4.05	4.44	3.81
RELA	32.76	32.87	27.65	27.52	25.48	29.04	33.58	33.5
RELB	7.28	7.1	5.43	5.29	5.94	6.63	6.91	5.1
RELL1	19.68	18.76	16.1	14.62	14.6	14.28	9.55	7.5
RELL2	9.05	8	9.47	8.51	6.27	6.68	6.65	5.29
RELN	0	0	0	0	0	0.07	0.01	0
RELT	6.42	5.78	4.71	5.2	4.78	5.43	6.23	3.97
REM1	0	0	0.03	0	0	0	0.06	0
REM2	0.71	0.75	0.61	0.7	0.57	0.24	0.82	0.61
REN	0	0.03	0	0	0.04	0.04	0.04	0
RENBP	0.44	0.77	0.59	0.72	0.77	0.64	1.07	0.48
REP15	3.16	3.05	1.68	2.16	1.73	1.95	1.94	1.53
REPIN1	82.46	80.94	78.25	70.94	71.27	77.87	80.58	65.03
REPS1	18.88	19.67	16.57	18.85	16.24	18.28	17.52	13.33
REPS2	0.55	0.66	0.18	0.15	0.33	0.32	0.61	0.65
RER1	63.75	67.48	68.97	69.03	56.22	62.07	49.43	38.09
RERE	26.16	25.32	28.96	24.61	25.5	22.95	35.77	31.03
RERG	0	0.02	0.03	0.07	0.12	0	0.1	0.09
RERGL	0.05	0	0	0.13	0.11	0.26	0.21	0.61
RESP18	0	0	0	0.04	0	0	0	0
REST	11.59	9.77	11.7	9.91	11.81	11.57	14.78	12.01
RET	0.01	0	0.01	0.05	0.02	0.12	0.02	0
RETN	0	0	0	0	0	0	0	0
RETNLB	0	0	0	0	0	0	0	0
RETSAT	14.59	13.76	14.59	13.28	13.71	15.24	18.32	12.82
REV1	21.21	23.64	21.61	21.66	21.26	19.78	27.67	16.59
REV3L	15.32	11.33	14.4	11.29	14.62	15.31	22.55	23.53
REXO1	5.61	6.15	4.78	3.67	3.39	4.4	5.38	5.11
REXO2	55.94	60.37	62.62	62.29	61.78	60.42	53.22	44.32
REXO4	27.84	27.57	23.84	22.71	23.43	24.39	21.85	15.44
RFC1	32.27	33.53	30.03	30.7	27.78	28.66	29.79	24.94
RFC2	59.62	56.62	54.15	50.29	47.24	49.21	36.78	31.91
RFC3	19.44	19.93	15.08	16	16.12	15.03	12.84	9.33
RFC4	41.71	48.55	38.95	38.21	34.76	39.14	36.07	23.4
RFC5	35.51	35.31	30.12	31.57	30.05	31.12	25.77	19.49
RFESD	2.97	1.4	1.75	2.16	0.84	1.22	2.08	1.26
RFFL	8.7	6.79	8.5	6.88	8.84	5.7	6.03	5.2
RFK	20.08	21.73	19.7	23.01	27.51	27.92	21.66	20.34
RFLNA	1.37	1.13	2.2	1.36	3.05	3.5	1.91	2.35
RFLNB	1.89	1.72	1.14	1.05	0.99	0.9	0.72	0.64
RFNG	21.03	21.92	22.65	23.57	22	20.94	28.18	18.27
RFPL1	0.07	0	0	0.08	0	0	0	0
RFPL2	0.25	0.51	0.86	0.56	0.42	0.45	0.05	0.05
RFPL3	0.07	0	0.09	0.04	0.06	0.06	0	0
RFPL4A	0.1	0.12	0	0.08	0	0.3	0.26	0.13
RFPL4AL1	0	0.09	0.11	0.16	0.13	0	0	0
RFPL4B	0	0	0.02	0	0.03	0	0	0.03
RFT1	15.14	15.21	12.78	14.85	14.98	14.84	12.7	9.7
RFTN1	1.18	0.97	1.07	1.13	0.77	0.94	2.03	0.95
RFTN2	0.02	0.02	0.21	0.11	0.02	0.24	0.18	0.14
RFWD3	21.51	18.33	18.2	17.47	15.85	15.82	14.02	12.17
RFX1	3.79	2.65	2.47	2.52	2.68	2.25	2.53	3.39
RFX2	1.61	2.36	1.41	1.78	1.6	2.29	1.86	1.56
RFX3	3.3	3.39	2.52	3.13	2.77	3.3	3	3.6
RFX4	0.01	0.05	0.11	0.08	0	0.02	0.09	0.05
RFX5	26.56	24.32	26.16	23.03	23.63	25.02	31.93	22.4
RFX6	0	0	0.01	0.03	0.06	0.03	0	0
RFX7	3.5	3.85	3.99	3.17	3.22	3.3	3.92	3.68
RFX8	2.54	1.94	2.3	2.27	1.41	1.22	0.74	0.78
RFXANK	86.84	86.5	74.84	75.99	79.87	81.06	76.15	51.88
RFXAP	1.97	2.29	2.27	1.96	1.74	1.8	2.15	1.44
RGCC	0.96	0.55	0.7	0.58	0.53	1.25	1.09	1.23
RGL1	0.85	0.91	0.82	0.7	1.95	2	4.49	4.07
RGL2	11.98	11.14	10.3	9.41	9.73	11.51	14.07	10.85
RGL3	19.64	17.75	19.22	14.38	13.01	13.19	20.15	18.17
RGL4	0.46	0.89	0.43	0.4	0.23	0.22	0.22	0.26
RGMA	3.06	3.75	2.77	2.99	3.81	2.44	2.13	2.27
RGMB	5.74	5.57	4.74	4.25	5.04	4.76	4.52	3.72
RGN	0	0.04	0.03	0.06	0.1	0	0.12	0.12
RGP1	10.54	10.14	9.45	9.9	9.61	9.93	8.75	6.72
RGPD1	2.78	2.29	1.78	2.32	2.25	2.16	3.13	2.31
RGPD2	1.81	2.06	1.76	1.98	1.75	1.88	2.92	2.42
RGPD3	1.13	0.93	0.83	0.86	1.04	0.9	1.28	0.93
RGPD4	0.24	0.3	0.16	0.13	0.24	0.2	0.19	0.11
RGPD5	11.89	16.82	16.38	19.34	17.3	9.54	15.93	17.49
RGPD6	12.08	8.97	6.96	6.31	7.41	14.12	9.66	5.23
RGPD8	6.41	5.09	6.14	5.56	5.49	5.04	6.62	5.03
RGR	0	0.14	0.07	0.03	0.02	0.02	0	0
RGS1	0	0	0	0	0.04	0.1	0	0
RGS10	1.68	1.29	1.28	1.54	1.82	0.98	2.57	2.48
RGS11	3.24	3.84	2.98	2.86	2.31	1.6	1.16	1.71
RGS12	9.32	8.56	8.2	7.28	6.84	6.89	9.18	8.04
RGS13	0	0	0.01	0	0	0.01	0.01	0
RGS14	9.12	8.33	8.26	9.39	9.23	9.34	10.1	6.43
RGS16	8.08	8.59	6.47	6.11	4.72	4.69	1.71	1.68
RGS17	0.35	0.39	0.34	0.33	0.43	0.37	0.39	0.39
RGS18	0.13	0.02	0.18	0.08	0.34	0.23	0.39	0.37
RGS19	20.2	20.05	20.2	19.85	19.59	20.07	16.59	12.17
RGS2	1.11	1.21	0.71	0.78	1.58	1.02	2.73	1.88
RGS20	0.18	0.07	0.06	0.04	0	0.08	0.04	0.23
RGS21	0	0	0.02	0	0	0.03	0.03	0
RGS22	0	0	0.19	0	0.02	0	0	0.08
RGS3	13.63	12.46	11.67	11.6	9.99	10.41	10.77	8.68
RGS4	0.06	0	0.12	0.07	0.12	0.54	0.33	0.35
RGS5	5.07	3.76	4.94	4.36	4.08	4	5.04	4.37
RGS6	0.09	0.1	0.39	0.14	0.3	0.33	0.26	0.08
RGS7	0.13	0.1	0.11	0.14	0.27	0.28	0.26	0.11
RGS7BP	0	0	0	0	0.09	0.21	0.01	0
RGS8	0.01	0.01	0	0	0.04	0.04	0	0.01
RGS9	3.4	3.87	3.3	3.21	4.52	3.94	5.29	4.35
RGS9BP	0.38	0.29	0.38	0.37	0.47	0.17	0.35	0.32
RGSL1	0	0.14	0.01	0	0	0	0	0
RHAG	0.05	0.04	0.05	0	0	0	0	0.05
RHBDD1	14.62	14.56	13.92	13.74	13.09	13.93	9.75	7.31
RHBDD2	39.25	39.29	35.62	33.48	43.73	44.22	48.06	45.92
RHBDD3	17.59	17.94	14.02	13.48	12.68	11.52	11.38	8.44
RHBDF1	7.04	6.09	7.22	5.78	5.38	5.24	6.6	6.62
RHBDF2	26.86	26.31	29.82	26.41	31.53	26.78	31.03	28.08
RHBDL1	8.84	8.89	9.32	8.35	6.74	6.83	4.71	3.82
RHBDL2	0.25	0.13	0.14	0.25	0.25	0.11	0.08	0.1
RHBDL3	0.04	0.02	0.01	0.02	0.02	0.01	0.05	0
RHBG	0.34	0.46	0.24	0.18	0.24	0.07	0.17	0.1
RHCE	0.53	0.17	0.2	0.18	0.32	0.18	0.36	0.11
RHCG	0	0	0	0	0.11	0	0.04	0.04
RHD	0.02	0.17	0.04	0.05	0.02	0.04	0.03	0.02
RHEB	45.77	49.57	41.42	46.4	52.91	49.09	45.87	33.5
RHEBL1	2.56	2.13	1.99	2.04	2.25	2.59	1.88	1.34
RHNO1	35.01	35.18	35.63	34.12	40.76	39.63	46.38	32.1
RHO	0	0	0	0	0	0	0	0
RHOA	118.37	116.19	139	135.39	147.55	151.57	126.54	97.49
RHOB	41.78	40.58	33.46	33.49	45.44	48.63	54.99	42.08
RHOBTB1	1.88	3.14	1.87	2.21	2.9	3.72	4.75	3.37
RHOBTB2	4.65	5.6	5.57	3.97	4.61	5.68	5.01	4.82
RHOBTB3	44.52	39.32	34.1	39.05	39.08	41.56	41.84	36.36
RHOC	36.83	36.37	46.12	42.36	60.85	64.14	90.79	63.13
RHOD	46.09	43.44	47	45.93	42.04	43.93	28.47	22.57
RHOF	28.44	31.59	28.27	26.9	27.33	27.13	20.01	16.48
RHOG	7.88	7.45	7.38	6.58	6.15	6.33	5.23	4.57
RHOH	0.03	0	0.01	0.01	0.02	0.03	0.01	0
RHOJ	0	0	0.02	0.02	0.05	0	0	0.02
RHOQ	28.01	25.77	24.74	24.47	27.14	28.43	24.63	16.8
RHOT1	20.41	21.48	17.82	19.74	21.55	21.85	19.22	15.71
RHOT2	58.32	56.45	54.1	48.95	37.45	42.36	54.79	43.58
RHOU	1.39	1.4	1.73	1.76	2.79	3.11	3.99	3.29
RHOV	2	1.77	1.48	1.52	1.5	1.71	1.85	1.14
RHOXF1	0	0	0	0	0	0.09	0	0
RHOXF2	0	0	0	0	0	0	0	0
RHOXF2B	0.03	0	0.01	0.02	0.04	0.02	0.05	0
RHPN1	11.37	10.42	10.97	9.95	9.72	9.58	16.23	12.34
RHPN2	22.17	26.57	20.16	19.1	24.73	22.34	24.93	19.79
RIBC1	0.61	0.81	1.01	0.58	1.15	0.81	1.69	1.25
RIBC2	1.61	1.64	0.94	1.28	1.67	1.28	1.85	2.08
RIC1	4.23	4.89	4.91	4.61	4.77	5.19	6.31	5.25
RIC3	0	0	0.04	0.03	0.15	0	0.09	0.01
RIC8A	30.33	26.93	27.68	25.05	23.43	23.93	22.94	19.63
RIC8B	8.01	7.51	6.73	6.79	9.04	7.04	7.85	5.6
RICTOR	6.35	6.3	5.02	5.37	4.71	4.28	6.47	4.92
RIDA	13.52	14.81	15.39	17.32	14.42	14.69	18.21	11.1
RIF1	20.09	20.31	14.99	15.57	14.69	14.75	13.91	10.93
RIIAD1	0.03	0.03	0	0.02	0	0.17	0.33	0
RILP	1.63	1.13	0.77	1.08	1.37	1.57	0.6	0.62
RILPL1	5.77	4.62	4.97	4.09	3.96	4.86	5.59	5.26
RILPL2	2.21	2.18	2.27	2.06	2.49	2.42	2.21	1.36
RIMBP2	12.68	11.87	12.69	10.25	12.66	11.49	10.3	9.54
RIMBP3	0	0.03	0.03	0.05	0.05	0	0.11	0
RIMBP3B	0.07	0	0.04	0.09	0.09	0.09	0.1	0.15
RIMBP3C	0	0.04	0.05	0.02	0	0	0	0
RIMKLA	2.43	3.22	1.59	2.46	2.03	1.98	1.24	0.86
RIMKLB	17.53	16.68	17.56	17.01	18.4	17.8	27.5	18.76
RIMS1	0.17	0.08	0.11	0.22	0.57	0.42	0.66	0.33
RIMS2	2.51	2.85	1.93	1.91	1.61	1.92	1.7	1.35
RIMS3	2.64	2.43	2.14	1.86	1.66	1.64	1.7	1.29
RIMS4	2.86	2.15	1.58	2.01	1.86	2.09	1.18	0.86
RIN1	6.75	7.24	9.74	8.77	8.15	7.93	8.71	5.95
RIN2	0.56	0.29	0.45	0.5	0.58	1.02	1.69	1.05
RIN3	1.52	1.39	1.4	1.12	1.27	1.02	1.83	1.56
RING1	21.14	17.84	18.23	17.73	18.65	18.49	17.04	12.25
RINL	7.28	8.88	9.75	9.35	11.86	9.72	8.19	7.26
RINT1	23.67	25.5	22.56	22.06	21.74	23.12	22.99	16.32
RIOK1	24.43	19.98	18.57	19.85	17.67	16.58	13.88	7.84
RIOK2	23.62	18.98	19.79	17.31	16.51	20.76	15.95	11.79
RIOK3	42.82	45.08	38.45	41.08	41.69	44.11	35.19	27.1
RIOX1	10.59	11.07	11.45	9.51	9.68	10.57	9.88	7.36
RIOX2	24.75	23.76	19.26	19.49	19.06	17.64	15.94	11.88
RIPK1	5.7	5.58	5.08	5.43	6.53	6.04	7.27	5.64
RIPK2	11.36	10.94	9.63	9.43	8.75	9.93	7.24	4.99
RIPK3	0.12	0.49	0.68	0.24	0.58	0.28	0.33	0.47
RIPK4	5.63	5.64	4.62	5.2	5.78	6.4	7.73	6.08
RIPPLY1	0	0	0	0	0	0	0.07	0.09
RIPPLY2	0	0	0.02	0.01	0.01	0	0.01	0.01
RIPPLY3	0.25	0.46	0.31	0.35	0.36	0.34	0.45	0.27
RIT1	8.81	9.76	7.35	7.17	9.58	11.1	12.8	9.15
RIT2	0	0	0	0	0.18	0	0	0
RITA1	19.35	19.65	20.11	18.18	17.37	16.57	14.19	12.16
RLBP1	0.5	0.59	0.36	0.31	0.62	0.49	0.53	0.3
RLF	5.69	5.48	5.46	5.69	6.73	6.97	6.02	4.55
RLIM	30.58	30.25	26.11	26.67	29.43	29.42	30.1	23.64
RLN1	0.47	0.52	0.13	0.74	0.39	0.36	0.8	0.18
RLN2	2.54	3.76	2.6	2.75	3.33	2.66	2.6	2
RLN3	0	0	0	0	0	0	0	0
RMDN1	20.59	17.93	19.3	19.26	19.43	21.9	21.05	18.09
RMDN2	2.29	1.41	2.6	1.77	2.46	3.34	2.84	1.92
RMDN3	13.01	14.96	11.02	13.21	12.8	12.3	10.98	8.1
RMI1	1.84	2.69	2.19	2.37	1.77	2.16	1.61	1.03
RMI2	9.01	8.53	6.64	7.81	8.21	7.34	4.65	3.15
RMND1	9.02	10.71	7.93	10.24	10.15	11.53	9.46	6.74
RMND5A	61.66	58.72	45.55	48.9	53.18	53.1	47.97	37.2
RMND5B	11.82	13.64	12.22	12.02	11.48	10.95	10.36	7.66
RNASE1	0.31	0.09	0.11	0.38	0.48	0.52	3.02	2.98
RNASE10	0.09	0.09	0.12	0.11	0	0.05	0	0
RNASE11	0	0	0	0	0	0	0	0
RNASE12	0	0	0	0	0	0	0	0
RNASE13	0	0	0	0.02	0	0.04	0.03	0
RNASE2	0	0	0	0	0	0	0	0
RNASE3	0	0	0	0	0	0.09	0	0
RNASE4	0.02	0.24	0.51	0.31	0.36	0.1	0.25	0.55
RNASE6	0	0	0.04	0.09	0.05	0	0.71	0.24
RNASE7	0	0	0	0.02	0.06	0	0.06	0.04
RNASE8	0	0	0	0	0	0	0	0
RNASE9	0	0	0	0	0.02	0	0	0
RNASEH1	30.41	32.94	30.03	32.07	29.2	32.15	26.26	17.63
RNASEH2A	57.55	55.8	54.09	52.02	48.97	50.89	38.95	30.66
RNASEH2B	28.79	29.52	32.78	25.93	30.8	32.92	21.57	16.23
RNASEH2C	30.83	28.77	24.15	24.86	27.21	24.56	26.43	21.38
RNASEK	41.54	40.43	39.75	39.91	47.86	50.33	56.52	50.12
RNASEK-C17orf49	0.55	1.88	0.74	0.84	0.79	1.89	0.82	0.79
RNASEL	0.07	0.07	0.03	0.01	0.03	0.04	0.11	0.08
